day,count,hour
FRI,828,0.0
FRI,602,1.0
FRI,540,2.0
FRI,336,3.0
FRI,231,4.0
FRI,175,5.0
FRI,183,6.0
FRI,290,7.0
FRI,473,8.0
FRI,438,9.0
FRI,556,10.0
FRI,565,11.0
FRI,1099,12.0
FRI,632,13.0
FRI,662,14.0
FRI,709,15.0
FRI,692,16.0
FRI,868,17.0
FRI,980,18.0
FRI,789,19.0
FRI,816,20.0
FRI,825,21.0
FRI,826,22.0
FRI,829,23.0
MON,856,0.0
MON,453,1.0
MON,473,2.0
MON,294,3.0
MON,200,4.0
MON,188,5.0
MON,199,6.0
MON,286,7.0
MON,452,8.0
MON,452,9.0
MON,529,10.0
MON,536,11.0
MON,1091,12.0
MON,547,13.0
MON,615,14.0
MON,689,15.0
MON,759,16.0
MON,841,17.0
MON,908,18.0
MON,864,19.0
MON,817,20.0
MON,774,21.0
MON,865,22.0
MON,666,23.0
SAT,961,0.0
SAT,681,1.0
SAT,762,2.0
SAT,512,3.0
SAT,340,4.0
SAT,235,5.0
SAT,172,6.0
SAT,225,7.0
SAT,330,8.0
SAT,396,9.0
SAT,520,10.0
SAT,469,11.0
SAT,894,12.0
SAT,565,13.0
SAT,625,14.0
SAT,659,15.0
SAT,680,16.0
SAT,784,17.0
SAT,767,18.0
SAT,746,19.0
SAT,838,20.0
SAT,787,21.0
SAT,855,22.0
SAT,806,23.0
SUN,980,0.0
SUN,797,1.0
SUN,749,2.0
SUN,546,3.0
SUN,322,4.0
SUN,261,5.0
SUN,187,6.0
SUN,209,7.0
SUN,273,8.0
SUN,341,9.0
SUN,391,10.0
SUN,390,11.0
SUN,785,12.0
SUN,475,13.0
SUN,490,14.0
SUN,592,15.0
SUN,617,16.0
SUN,740,17.0
SUN,829,18.0
SUN,724,19.0
SUN,797,20.0
SUN,750,21.0
SUN,827,22.0
SUN,726,23.0
THU,702,0.0
THU,460,1.0
THU,450,2.0
THU,314,3.0
THU,214,4.0
THU,160,5.0
THU,224,6.0
THU,260,7.0
THU,420,8.0
THU,417,9.0
THU,527,10.0
THU,503,11.0
THU,1055,12.0
THU,606,13.0
THU,632,14.0
THU,647,15.0
THU,700,16.0
THU,735,17.0
THU,876,18.0
THU,822,19.0
THU,885,20.0
THU,839,21.0
THU,869,22.0
THU,779,23.0
TUE,731,0.0
TUE,412,1.0
TUE,361,2.0
TUE,239,3.0
TUE,205,4.0
TUE,188,5.0
TUE,171,6.0
TUE,279,7.0
TUE,437,8.0
TUE,442,9.0
TUE,482,10.0
TUE,541,11.0
TUE,971,12.0
TUE,593,13.0
TUE,619,14.0
TUE,617,15.0
TUE,677,16.0
TUE,815,17.0
TUE,824,18.0
TUE,853,19.0
TUE,849,20.0
TUE,814,21.0
TUE,857,22.0
TUE,672,23.0
WED,708,0.0
WED,490,1.0
WED,396,2.0
WED,283,3.0
WED,191,4.0
WED,146,5.0
WED,190,6.0
WED,311,7.0
WED,434,8.0
WED,459,9.0
WED,508,10.0
WED,524,11.0
WED,1009,12.0
WED,580,13.0
WED,596,14.0
WED,643,15.0
WED,693,16.0
WED,814,17.0
WED,848,18.0
WED,860,19.0
WED,846,20.0
WED,795,21.0
WED,877,22.0
WED,666,23.0
